url,performance,accessibility,best_practices,seo,FCP,LCP,TBT,CLS,speed_index,total_page_weight,dom_elements,LCP_element
https://www.sflworldwide.com/,41,96,75,100,2.7 s,6.4 s,"1,680 ms",0,6.0 s,"Total size was 1,672 KiB","1,150 elements","<img alt=""SFL Worldwide International Shipping"" fetchpriority=""high"" decoding=""async"" data-nimg=""fill"" class=""object-cov"
https://www.sflworldwide.com/worldwide-destinations/shipping-to-india,68,86,75,92,1.4 s,1.7 s,960 ms,0.201,2.7 s,"Total size was 2,301 KiB","1,547 elements","<p class=""mb-8 leading-relaxed text-[#444] text-center md:text-left font-poppins"" style=""font-size:var(--text-body)"">"
https://www.sflworldwide.com/blog/shipping-electronics-from-usa-to-india,51,88,75,92,2.6 s,5.2 s,"1,060 ms",0,5.1 s,"Total size was 2,084 KiB",752 elements,"<section class=""pt-[180px] md:pt-[140px] lg:pt-[120px] pb-10 md:pb-10 relative overflow-hi…"" style=""background-color: rg"
https://www.sflworldwide.com/services/worldwide-shipping,50,86,75,92,2.1 s,7.9 s,820 ms,0.073,4.8 s,"Total size was 2,215 KiB","1,124 elements","<p class=""mb-8 leading-relaxed text-[#444] text-center md:text-left font-poppins"" style=""font-size:var(--text-body)"">"
https://www.sflworldwide.com/services/auto-transport,41,92,75,100,2.7 s,8.7 s,"1,330 ms",0,5.7 s,"Total size was 1,593 KiB","1,235 elements","<img alt=""Background"" decoding=""async"" data-nimg=""fill"" class=""object-cover -z-10 absolute inset-0"" style=""position: abs"
https://www.sflworldwide.com/en-in,52,96,75,100,1.3 s,6.1 s,930 ms,0.091,4.4 s,"Total size was 2,128 KiB","1,027 elements","<img alt=""SFL India shipping"" loading=""lazy"" width=""500"" height=""400"" decoding=""async"" data-nimg=""1"" class=""object-conta"
